Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
07/12/2020 11:50,"Так, працюю full-time",Харків,Віддалено,Чоловік,40,Вища,ХАІ,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,General QA,JavaScript,,,,,,,,,,,,,,,,Edtech,Продуктова,до 1000,3 роки,1 рік,03-Apr,1200,100,Отримую бонус щокварталу,250
27/12/2020 04:57,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,27,Вища,ХНЕУ,Pre-Intermediate,HTML Coder,,,,,,,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 200,5 років,4 роки,2,1000,450,"Ні, не отримую",
10/12/2020 23:32,"Так, працюю full-time",Вінниця,Віддалено,Чоловік,32,Вища,ВНТУ,Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Product Manager,Senior,,,,,,,,E-commerce,Продуктова,до 1000,5 років,5 років,1,2200,-300,Отримую бонус щокварталу,150
30/12/2020 17:51,"Так, працюю full-time",Київ,Віддалено,Жінка,33,Вища,Інший виш,Intermediate,Designer,,,,,,,,,,UI/UX Designer,Middle,,,,,,,,,,,,,,"Agriculture, Edtech, High Load Systems",Аутсорсингова,понад 1000,5 років,2 роки,2,1500,200,"Ні, не отримую",
07/12/2020 11:56,"Так, працюю full-time",Харків,В офісі,Чоловік,33,Вища,Інший виш,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,JavaScript,,,,,,,,,,,,,,,,"Blockchain, E-commerce",Продуктова,до 10 спеціалістів,3 роки,3 місяці,03-Apr,1200,100,"Ні, не отримую",
14/12/2020 15:48,"Так, працюю full-time",Київ,В офісі,Чоловік,27,Вища,НТУУ «КПІ»,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Senior,,"Embedded, Internet of Things, Mobile",Продуктова,понад 1000,5 років,1 рік,2,4700,500,"Ні, не отримую",
13/12/2020 13:37,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,SQL,Flask,"Web, Cli",,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,до 200,3 роки,Пів року,03-Apr,2300,500,"Ні, не отримую",
13/12/2020 15:35,"Так, працюю full-time",Київ,Віддалено,Жінка,26,Вища,КНУ ім. Шевченка,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Ruby,"JavaScript, SQL","React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 50,4 роки,3 роки,2,2300,500,"Ні, не отримую",
07/12/2020 11:58,"Так, працюю full-time",Київ,Віддалено,Жінка,23,Вища,НаУКМА,Advanced,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,General QA,JavaScript,,,,,,,,,,,,,,,,"Fintech, Media",Аутсорсингова,до 50,2 роки,Пів року,2,1200,200,"Ні, не отримую",
27/12/2020 19:54,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,22,Вища,Інший виш,Upper-Intermediate,Support,,,,,,,,,,,,,,,,,,,,,,,,,"Media, Інша",Аутсорсингова,до 10 спеціалістів,2 роки,2 роки,2,900,300,"Ні, не отримую",
14/12/2020 23:37,"Так, я фрилансер",Київ,Віддалено,Жінка,28,Вища,КНУ ім. Шевченка,Upper-Intermediate,HR,,,,,,,,,,,,,,Recruiter,Senior,,,,,,,,,,Інша,Інша,до 10 спеціалістів,2 роки,1 рік,2,1093,0,"Отримую бонус за гарні показники роботи, але нерегулярно",163
13/12/2020 21:42,"Так, працюю full-time",Вінниця,"Частково віддалено, частково в офісі",Чоловік,23,Вища,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,"PHP, SQL",Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,3 роки,Менше як 3 місяці,2,2300,300,"Ні, не отримую",
13/12/2020 22:02,"Так, працюю full-time",Вінниця,"Частково віддалено, частково в офісі",Чоловік,24,Вища,ВНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,TypeScript,JavaScript,"React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,"Fintech, High Load Systems",Аутсорсингова,понад 1000,4 роки,1 рік,05-Jul,2300,200,Отримую бонус щороку,250
08/12/2020 21:19,"Так, працюю full-time",Київ,В офісі,Чоловік,38,Вища,Інший виш,Advanced,"СTO, Director of Engineering, Program Director",,,,,,,,,,,,,,,,,,,,,,,,CTO,Hardware,Продуктова,до 50,10 і більше років,10 і більше років,05-Jul,6000,0,"Ні, не отримую",
07/12/2020 12:04,"Так, працюю full-time",Харків,Віддалено,Чоловік,33,Вища,Інший виш,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,Не використовую,,,,,,,,,,,,,,,,High Load Systems,Аутсорсингова,до 50,4 роки,2 роки,2,1200,100,"Ні, не отримую",
14/12/2020 19:20,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,27,Вища,ДНУ ім. Гончара,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,"PHP, SQL, TypeScript","Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Logistics,Продуктова,до 10 спеціалістів,5 років,1 рік,03-Apr,2300,400,"Ні, не отримую",
15/12/2020 18:52,"Так, працюю full-time",Запоріжжя,Віддалено,Чоловік,34,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,SQL,"Django, Flask",Web,,,,,,,,,,,,,,,,,,,Agriculture,Продуктова,до 1000,3 роки,Пів року,03-Apr,2300,100,"Ні, не отримую",
08/12/2020 00:43,"Так, працюю full-time",Харків,,Жінка,25,Вища,НТУ «ХПІ»,Intermediate,HR,,,,,,,,,,,,,,HR Manager,Middle,,,,,,,,,,GameDev,Продуктова,до 1000,5 років,2 роки,1,1078,300,"Ні, не отримую",
15/12/2020 19:33,"Так, працюю full-time",Тернопіль,Віддалено,Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,JavaScript,TypeScript,React Native,Mobile cross-platform,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 200,3 роки,2 роки,2,2300,520,"Ні, не отримую",
21/12/2020 12:33,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,34,Вища,ХНУРЕ,Upper-Intermediate,Security Specialist,,,,,,,,,,,,,,,,,,,,,,,,,Security,Аутсорсингова,понад 1000,8 років,8 років,1,2400,200,"Ні, не отримую",
16/12/2020 12:58,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,35,Вища,ХНУ ім. Каразіна,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"Go, JavaScript, SQL","jQuery, Laravel, Vue.js",Web,,,,,,,,,,,,,,,,,,,ERP,Стартап,до 50,4 роки,3 роки,2,2300,600,"Ні, не отримую",
07/12/2020 12:34,"Так, працюю full-time",Тернопіль,Віддалено,Жінка,34,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,Не використовую,,,,,,,,,,,,,,,,Medtech,Аутстафінгова,Лише я,6 років,Менше як 3 місяці,2,1200,0,"Ні, не отримую",
16/12/2020 16:14,"Так, працюю full-time",Харків,Віддалено,Жінка,23,Вища,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,TypeScript,React.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,понад 1000,3 роки,1 рік,03-Apr,2300,500,"Отримую бонус за гарні показники роботи, але нерегулярно",800
16/12/2020 18:31,"Так, працюю full-time",Харків,Віддалено,Чоловік,25,Вища,ХНУ ім. Каразіна,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,"Go, JavaScript",,Web,,,,,,,,,,,,,,,,,,,"Media, Security",Аутсорсингова,понад 1000,4 роки,1 рік,2,2300,150,"Ні, не отримую",
21/12/2020 09:56,"Так, працюю full-time",Чернігів,Віддалено,Чоловік,36,Вища,ЧНТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,C++,.NET,Desktop,,,,,,,,,,,,,,,,,,,"Legal, Інша",Продуктова,до 50,10 і більше років,3 роки,03-Apr,2300,350,"Отримую бонус за гарні показники роботи, але нерегулярно",200
22/12/2020 16:19,"Так, працюю full-time",Львів,Віддалено,Чоловік,24,Вища,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,JavaScript,"Angular/Angular.js, Node.js",Web,,,,,,,,,,,,,,,,,,,Edtech,Аутстафінгова,до 1000,5 років,2 роки,03-Apr,2300,300,"Ні, не отримую",
23/12/2020 12:10,"Так, працюю full-time",Харків,Віддалено,Чоловік,35,Вища,НТУ «ХПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,TypeScript,JavaScript,Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Insurance,Продуктова,до 10 спеціалістів,3 роки,2 роки,2,2300,400,"Отримую бонус за гарні показники роботи, але нерегулярно",500
07/12/2020 13:04,"Так, працюю full-time",Харків,Віддалено,Чоловік,29,Середня,,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,JavaScript,,,,,,,,,,,,,,,,Logistics,Аутсорсингова,до 200,3 роки,1 рік,03-Apr,1200,200,"Ні, не отримую",0
23/12/2020 18:16,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,30,Вища,ДНУ ім. Гончара,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Kotlin,"C++, Java, Swift",,"Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"E-commerce, Mobile",Аутсорсингова,до 200,6 років,Менше як 3 місяці,05-Jul,2300,700,"Ні, не отримую",
09/12/2020 23:53,"Так, працюю full-time",Львів,Віддалено,Жінка,25,Вища,ЧНУ ім. Федьковича,Intermediate,HR,,,,,,,,,,,,,,HR Manager,Middle,,,,,,,,,,"Cloud Computing, Manufacturing, Robotics",Аутсорсингова,до 1000,5 років,2 роки,2,1060,200,"Ні, не отримую",
14/12/2020 16:57,"Так, працюю full-time",Львів,Віддалено,Чоловік,23,Вища,Інший виш,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Junior,,"Cloud Computing, High Load Systems",Аутсорсингова,понад 1000,2 роки,2 роки,2,1400,500,"Ні, не отримую",
27/12/2020 17:58,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,28,Вища,ЧНУ ім. Федьковича,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Java,"JavaScript, Python, SQL","jQuery, Spring",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,понад 1000,7 років,7 років,1,2300,500,"Ні, не отримую",
07/12/2020 10:51,"Так, я фрилансер",Київ,Віддалено,Чоловік,17,Середня,,Upper-Intermediate,Designer,,,,,,,,,,UI/UX Designer,Middle,,,,,,,,,,,,,,Інша,Продуктова,до 50,2 роки,1 рік,03-Apr,1450,250,"Ні, не отримую",
29/12/2020 11:49,"Так, працюю full-time",Харків,Віддалено,Чоловік,33,Вища,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,JavaScript,"Laravel, Node.js",Web,,,,,,,,,,,,,,,,,,,Media,Продуктова,до 200,10 і більше років,2 роки,05-Jul,2300,0,Отримую бонус щороку,2300
14/12/2020 17:06,"Так, працюю full-time",Львів,В офісі,Чоловік,24,Середня,,Elementary,"Marketing, SEO, Copywriter",,,,,,,,,,,,Chief Marketing Officer (CMO),Head,,,,,,,,,,,,E-commerce,Продуктова,до 50,5 років,3 роки,2,1000,200,Отримую бонус щомісяця,100
29/12/2020 12:21,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,23,Вища,ОНПУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Ruby,JavaScript,"jQuery, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,до 10 спеціалістів,4 роки,2 роки,03-Apr,2300,600,Отримую бонус щороку,2300
29/12/2020 15:37,"Так, працюю full-time",Харків,Віддалено,Чоловік,22,Вища,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,JavaScript,"Java, TypeScript","Angular/Angular.js, Node.js, Spring",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Security",Аутсорсингова,до 1000,2 роки,2 роки,1,2300,1300,"Отримую бонус за гарні показники роботи, але нерегулярно",760
29/12/2020 17:16,"Так, працюю full-time",Запоріжжя,Віддалено,Чоловік,21,Ще студент,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,"JavaScript, TypeScript",React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Стартап,до 10 спеціалістів,2 роки,3 місяці,2,2300,1300,"Ні, не отримую",
29/12/2020 18:53,"Так, працюю full-time",Харків,Віддалено,Чоловік,23,Вища,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,AEM,Java,"JavaScript, Інше","React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Media",Аутсорсингова,до 200,2 роки,Менше як 3 місяці,2,2300,1750,"Ні, не отримую",
29/12/2020 21:55,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Embedded,C++,"Java, Python",,Mobile Android,,,,,,,,,,,,,,,,,,,"Automotive, Embedded",Аутсорсингова,понад 1000,5 років,3 роки,03-Apr,2300,0,"Ні, не отримую",
29/12/2020 23:41,"Так, працюю full-time",Київ,В офісі,Чоловік,31,Вища,ЖДТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,JavaScript,"jQuery, React.js, Symfony",Web,,,,,,,,,,,,,,,,,,,"Media, Travel, Інша",Аутстафінгова,до 50,7 років,Пів року,05-Jul,2300,0,"Ні, не отримую",
30/12/2020 16:50,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Жінка,24,Вища,НУ «Львівська політехніка»,Upper-Intermediate,HR,,,,,,,,,,,,,,HR Manager,Middle,,,,,,,,,,"Gambling, Media, Travel",Аутсорсингова,понад 1000,3 роки,2 роки,03-Apr,1050,300$,"Отримую бонус за гарні показники роботи, але нерегулярно",180
30/12/2020 03:39,"Так, працюю full-time",Київ,Віддалено,Чоловік,34,Кандидат наук,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,Не використовую,Spring,Web,,,,,,,,,,,,,,,,,,,Logistics,Аутстафінгова,до 1000,2 роки,1 рік,03-Apr,2300,300,"Ні, не отримую",
07/12/2020 13:31,"Так, працюю full-time",Одеса,Віддалено,Чоловік,29,Вища,,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,Java,,,,,,,,,,,,,,,,"Embedded, Telecom",Аутсорсингова,понад 1000,2 роки,Пів року,2,1200,400,Отримую бонус щороку,400
07/12/2020 15:24,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,25,Вища,,Upper-Intermediate,Designer,,,,,,,,,,UI/UX Designer,Head,,,,,,,,,,,,,,"E-commerce, Gambling, Інша",Аутсорсингова,до 50,6 років,1 рік,03-Apr,1400,600,"Ні, не отримую",
14/12/2020 17:37,"Так, працюю full-time",Харків,Віддалено,Чоловік,41,Дві вищих,ХНУРЕ,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,Site Reliability Engineer,Team Lead,,"Hardware, Інша",Продуктова,до 1000,10 і більше років,4 роки,03-Apr,3200,0,"Ні, не отримую",0
08/12/2020 23:10,"Так, працюю full-time",Інше,Віддалено,Чоловік,32,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Automation QA,C#,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,7 років,Пів року,03-Apr,4000,0,"Ні, не отримую",0
14/12/2020 11:15,"Так, працюю full-time",Київ,В офісі,Чоловік,30,Вища,НТУУ «КПІ»,Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Product Owner,Team Lead,,,,,,,,"Automotive, Fintech",Продуктова,до 10 спеціалістів,10 і більше років,6 років,2,2200,0,Отримую бонус щокварталу,5000
30/12/2020 08:46,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,25,Вища,ОНПУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Embedded,C++,Python,,Microcontrollers/Embedded/IoT,,,,,,,,,,,,,,,,,,,Automotive,Продуктова,до 200,4 роки,4 роки,2,2300,0,"Ні, не отримую",0
30/12/2020 18:37,"Так, працюю full-time",Київ,В офісі,Чоловік,30,Вища,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,"C++, Python, SQL",".NET Core, ASP.NET, Vue.js",Web,,,,,,,,,,,,,,,,,,,"Cloud Computing, E-commerce, Fintech",Продуктова,до 200,5 років,1 рік,03-Apr,2300,500,Отримую бонус щороку,1000
30/12/2020 22:29,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,36,Вища,ОНПУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,JavaScript,Laravel,Web,,,,,,,,,,,,,,,,,,,ERP,Продуктова,до 1000,5 років,1 рік,03-Apr,2300,900,"Ні, не отримую",
31/12/2020 14:36,"Так, працюю full-time",Київ,Віддалено,Чоловік,22,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,Інше,.NET Core,Web,,,,,,,,,,,,,,,,,,,Gambling,Продуктова,до 200,3 роки,1 рік,1,2300,0,Отримую бонус щокварталу,300
01/01/2021 19:50,"Так, працюю full-time",Львів,Віддалено,Чоловік,27,Вища,ЦНТУ [м. Кропивницький],Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"JavaScript, SQL",Symfony,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 200,5 років,1 рік,03-Apr,2300,0,"Ні, не отримую",
03/01/2021 08:46,"Так, працюю full-time",Львів,Віддалено,Чоловік,28,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,JavaScript,"Go, TypeScript","Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"Geospatial, Logistics, Інша",Аутсорсингова,понад 1000,3 роки,Менше як 3 місяці,2,2300,500,"Ні, не отримую",
08/12/2020 23:40,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,24,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Automation QA,C#,,,,,,,,,,,,,,,,"E-commerce, Legal",Аутстафінгова,до 200,5 років,2 роки,03-Apr,4000,1100,Отримую бонус щороку,1500
07/12/2020 10:45,"Так, працюю full-time",Львів,Віддалено,Чоловік,35,Вища,УКУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Swift,Objective-C,,Mobile iOS,,,,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,до 200,4 роки,1 рік,03-Apr,2300,300,"Отримую бонус за гарні показники роботи, але нерегулярно",2000
07/12/2020 12:00,"Так, працюю full-time",Хмельницький,Віддалено,Чоловік,38,Дві вищих,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C#/.NET,"JavaScript, SQL",".NET Core, jQuery",Web,,,,,,,,,,,,,,,,,,,"ERP, Logistics",Аутсорсингова,до 1000,10 і більше років,1 рік,03-Apr,2300,0,Отримую бонус щомісяця,500
07/12/2020 12:21,"Так, працюю full-time",Київ,В офісі,Чоловік,43,Дві вищих,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,"SQL, TypeScript",".NET Core, Angular/Angular.js, ASP.NET","Web, Інша",,,,,,,,,,,,,,,,,,,"E-commerce, Fintech",Продуктова,понад 1000,6 років,3 роки,05-Jul,2300,0,"Отримую бонус за гарні показники роботи, але нерегулярно",4500
07/12/2020 14:52,"Так, працюю full-time",Львів,В офісі,Чоловік,33,Вища,,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,"Go, JavaScript, TypeScript",Symfony,Web,,,,,,,,,,,,,,,,,,,"E-commerce, Інша",Інша,до 200,10 і більше років,Пів року,03-Apr,2300,300,"Ні, не отримую",
07/12/2020 18:07,"Так, працюю full-time",Херсон,Віддалено,Жінка,29,Вища,,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,General QA,JavaScript,,,,,,,,,,,,,,,,Edtech,Аутсорсингова,понад 1000,2 роки,1 рік,2,1200,800,"Ні, не отримую",
07/12/2020 10:52,"Так, працюю full-time",Київ,Віддалено,Жінка,29,Вища,КНЕУ,Intermediate,HR,,,,,,,,,,,,,,Recruiter,Middle,,,,,,,,,,"Big Data, E-commerce, Logistics",Аутсорсингова,до 200,4 роки,3 роки,03-Apr,1000,100,"Отримую бонус за гарні показники роботи, але нерегулярно",150
07/12/2020 18:36,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,34,Вища,НУ «Львівська політехніка»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,"jQuery, WordPress",Web,,,,,,,,,,,,,,,,,,,"Adtech, E-commerce",Продуктова,до 10 спеціалістів,8 років,1 рік,03-Apr,2300,300,"Ні, не отримую",
08/12/2020 11:03,"Так, працюю full-time",Одеса,Віддалено,Чоловік,31,Вища,ДНУЗТ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"C++, Python",React.js,"Microcontrollers/Embedded/IoT, Інша",,,,,,,,,,,,,,,,,,,Automotive,Аутсорсингова,понад 1000,10 і більше років,2 роки,05-Jul,2300,Защитилась однаков,"Отримую бонус за гарні показники роботи, але нерегулярно",500
07/12/2020 18:43,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Жінка,32,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,Не використовую,,,,,,,,,,,,,,,,Gambling,Продуктова,до 200,3 роки,3 роки,1,1200,200,"Ні, не отримую",
09/12/2020 12:58,"Так, працюю full-time",Київ,Віддалено,Чоловік,41,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,PHP,"Java, JavaScript, SQL","jQuery, Symfony",Web,,,,,,,,,,,,,,,,,,,Adtech,Продуктова,до 50,5 років,3 роки,2,2300,200,"Отримую бонус за гарні показники роботи, але нерегулярно",300
15/12/2020 10:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Вища,Інший виш,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Project Manager,Middle,,,,,,,,GameDev,Продуктова,до 50,4 роки,Менше як 3 місяці,03-Apr,2200,700,"Ні, не отримую",
11/12/2020 16:46,"Так, працюю full-time",Івано-Франківськ,Віддалено,Чоловік,31,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 50,4 роки,1 рік,03-Apr,2300,0,Отримую бонус щороку,3000
23/12/2020 17:46,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,34,Вища,КНЕУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,APL,"C#/.NET, JavaScript",".NET, Custom APL framework",Desktop,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 1000,4 роки,4 роки,1,2300,600,Отримую бонус щомісяця,44
28/12/2020 13:06,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,37,Середня,,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,Go,"Drupal, Symfony",Web,,,,,,,,,,,,,,,,,,,Інша,Інша,до 10 спеціалістів,10 і більше років,3 роки,8 і більше,2300,0,"Ні, не отримую",
